HouseID,Location,Area_sqft,Bedrooms,Bathrooms,HouseAge_years,Garage,GardenArea_sqft,DistanceToCity_km,Price_Lakh
3001,Chittagong,1422,3,4,20,1,1783.0,33.9,122.9
3002,Dhaka,3796,5,3,13,1,1410.8,13.2,499.8
3003,Sylhet,1010,5,1,9,1,0.0,7.8,99.6
3004,Rajshahi,2413,4,1,3,0,,31.0,119.1
3005,Sylhet,2256,2,2,9,1,0.0,16.9,137.5
3006,Dhaka,1096,7,1,22,0,0.0,24.7,110.9
3007,Dhaka,4107,2,3,39,0,0.0,33.5,286.7
3008,Sylhet,956,6,3,28,1,0.0,16.6,87.0
3009,Sylhet,540,2,3,39,1,,7.3,53.5
3010,Dhaka,3456,2,3,24,0,0.0,22.3,291.9
3011,Rajshahi,4413,3,1,37,0,0.0,24.2,165.2
3012,Sylhet,1437,2,3,27,0,1490.2,1.7,150.1
3013,Chittagong,3479,1,2,36,0,0.0,25.0,175.9
3014,Rajshahi,1844,4,2,3,1,1886.7,17.3,160.0
3015,Chittagong,4209,7,4,12,0,822.5,28.9,355.7
3016,Chittagong,1872,5,5,8,0,328.0,15.3,196.6
3017,Rajshahi,3247,3,4,40,0,1135.2,29.5,162.7
3018,Dhaka,4086,7,3,6,0,1654.1,1.7,636.6
3019,Dhaka,4043,3,2,14,0,65.6,21.5,371.8
3020,Dhaka,4267,1,1,32,1,0.0,2.3,388.5
3021,Dhaka,1915,1,2,3,1,1829.5,15.6,266.9
3022,Dhaka,2518,3,2,28,0,1775.1,8.1,312.8
3023,Chittagong,4261,3,1,4,1,0.0,10.1,304.7
3024,Rajshahi,969,2,1,26,1,0.0,27.2,15
3025,Chittagong,1379,4,3,22,1,451.8,29.5,132.2
3026,Rajshahi,1111,1,2,16,0,937.3,19.5,44.3
3027,Dhaka,3286,7,5,33,1,859.0,27.4,441.6
3028,Dhaka,1275,3,2,23,0,973.3,23.8,121.0
3029,Dhaka,2343,2,2,17,0,,8.8,236.2
3030,Dhaka,2971,5,5,30,0,1916.8,16.0,402.8
3031,Dhaka,4151,5,5,26,1,888.8,26.2,465.7
3032,Sylhet,3232,4,5,38,0,0.0,27.3,203.6
3033,Rajshahi,2641,6,1,34,0,1554.4,18.4,145.1
3034,Rajshahi,1798,5,5,17,1,0.0,32.4,120.0
3035,Rajshahi,3675,6,2,28,1,0.0,15.6,192.4
3036,Rajshahi,577,3,4,3,0,1704.7,1.7,120.8
3037,Dhaka,779,2,2,37,1,1261.4,4.3,117.8
3038,Dhaka,2780,4,4,38,0,1811.4,20.0,327.2
3039,Sylhet,2698,6,1,1,0,783.8,22.5,217.3
3040,Sylhet,3634,2,3,12,1,0.0,15.8,259.6
3041,Chittagong,2344,1,1,16,0,117.5,8.3,126.1
3042,Dhaka,1705,4,5,34,1,,1.1,315.8
3043,Chittagong,3354,2,3,4,1,419.5,2.7,263.2
3044,Chittagong,849,3,2,12,1,,8.0,85.2
3045,Rajshahi,408,2,1,29,0,0.0,15.3,15
3046,Sylhet,1214,1,2,6,0,0.0,4.7,67.8
3047,Chittagong,3416,6,4,22,0,,1.4,297.9
3048,Chittagong,1075,4,5,16,0,1007.5,8.9,150.1
3049,Chittagong,515,6,1,25,0,10.8,26.9,18.4
3050,Dhaka,675,5,1,0,0,1465.9,25.0,129.1
3051,Dhaka,1873,3,4,29,1,1955.9,,230.1
3052,Sylhet,897,3,3,20,0,1791.8,23.8,88.9
3053,Chittagong,3015,6,2,28,1,255.1,20.6,230.6
3054,Chittagong,900,7,1,9,0,,,92.6
3055,Sylhet,406,1,2,25,0,0.0,16.2,15
3056,Rajshahi,2316,4,1,30,1,0.0,13.6,107.8
3057,Dhaka,3495,5,5,37,1,910.3,25.8,400.3
3058,Sylhet,2265,4,4,30,0,1229.0,9.4,199.3
3059,Sylhet,2689,1,1,17,0,640.5,2.8,160.8
3060,Rajshahi,1692,3,2,22,1,1208.2,5.8,120.2
3061,Dhaka,3159,7,5,19,1,464.9,,479.0
3062,Sylhet,1350,4,4,34,0,1439.9,16.7,111.7
3063,Dhaka,594,2,3,37,0,325.3,31.4,15
3064,Dhaka,686,5,1,34,0,0.0,2.1,90.4
3065,Dhaka,1591,5,2,14,1,547.0,7.6,269.1
3066,Rajshahi,2209,1,1,40,0,902.2,32.6,52.4
3067,Sylhet,1512,1,2,33,0,77.4,21.3,26.6
3068,Sylhet,3687,5,4,14,0,0.0,32.2,220.6
3069,Sylhet,3926,4,5,37,1,0.0,16.0,270.1
3070,Rajshahi,2520,6,4,10,1,1476.6,29.0,179.7
3071,Chittagong,1610,5,2,15,0,,3.2,219.8
3072,Rajshahi,3308,7,3,27,0,520.5,16.2,195.4
3073,Chittagong,2952,4,1,27,0,673.2,4.4,238.2
3074,Chittagong,3141,5,1,31,0,0.0,24.7,193.3
3075,Rajshahi,820,1,2,13,0,1540.5,13.0,58.6
3076,Sylhet,792,2,2,7,0,0.0,23.1,49.8
3077,Rajshahi,1726,4,5,28,0,1604.7,24.2,111.4
3078,Rajshahi,4009,4,1,3,1,0.0,24.3,219.0
3079,Sylhet,3598,2,2,31,1,,24.1,192.2
3080,Sylhet,3805,7,2,6,1,0.0,22.2,292.1
3081,Rajshahi,3894,5,2,40,0,0.0,10.0,197.6
3082,Rajshahi,1819,2,1,5,1,,4.0,134.2
3083,Sylhet,2207,1,1,40,1,356.6,12.8,121.5
3084,Rajshahi,3394,5,4,26,0,533.8,14.3,183.1
3085,Chittagong,1086,5,2,6,1,1477.2,4.2,169.9
3086,Sylhet,4309,6,4,19,1,630.1,,347.9
3087,Dhaka,1369,6,3,8,1,508.7,29.4,237.1
3088,Dhaka,1318,1,1,36,1,1696.5,17.0,115.2
3089,Chittagong,4202,2,2,20,1,0.0,25.8,248.4
3090,Chittagong,3650,7,5,27,1,881.7,4.5,341.7
3091,Sylhet,2846,7,2,6,1,969.1,3.6,291.7
3092,Dhaka,3958,7,5,28,1,1748.5,2.9,618.4
3093,Rajshahi,3985,4,5,15,0,0.0,27.9,209.2
3094,Dhaka,1367,2,3,13,1,570.9,33.9,102.3
3095,Sylhet,2772,5,1,35,1,868.3,29.2,173.3
3096,Rajshahi,1022,2,3,34,0,35.7,25.7,22.8
3097,Chittagong,2258,5,3,33,0,0.0,17.6,165.6
3098,Sylhet,3015,4,3,18,0,0.0,33.7,144.1
3099,Chittagong,638,7,1,12,0,1946.4,17.5,133.2
3100,Chittagong,695,7,5,29,1,1091.2,6.8,171.1
3101,Chittagong,1186,1,2,28,1,0.0,34.1,28.0
3102,Sylhet,4133,4,2,6,0,449.7,5.3,286.5
3103,Chittagong,1870,1,1,7,1,0.0,1.8,145.8
3104,Chittagong,1153,5,4,23,0,0.0,31.0,70.6
3105,Rajshahi,426,7,1,3,0,1380.2,19.3,69.8
3106,Dhaka,1350,7,1,4,0,365.7,25.6,209.1
3107,Rajshahi,1293,3,4,16,1,0.0,,103.7
3108,Rajshahi,1243,6,2,12,0,0.0,3.0,126.4
3109,Dhaka,3942,5,2,25,1,0.0,2.1,488.1
3110,Dhaka,3554,7,5,1,1,0.0,5.4,521.2
3111,Dhaka,1791,4,3,35,0,0.0,13.4,183.6
3112,Rajshahi,4395,5,4,11,1,697.3,10.6,281.8
3113,Sylhet,3749,1,2,35,0,0.0,16.7,157.9
3114,Dhaka,1095,2,3,0,1,0.0,34.7,108.8
3115,Rajshahi,2605,3,2,9,0,0.0,20.2,133.3
3116,Sylhet,1951,5,4,9,0,595.1,34.9,135.8
3117,Dhaka,3262,4,2,37,0,1427.9,2.2,391.9
3118,Sylhet,2533,4,1,22,1,1752.8,4.5,244.0
3119,Dhaka,4389,7,4,35,0,1543.6,13.3,551.5
3120,Chittagong,3792,2,1,21,0,0.0,23.6,187.5
3121,Chittagong,2087,4,4,3,0,468.3,30.7,152.5
3122,Sylhet,1859,6,4,29,1,970.9,18.7,152.5
3123,Rajshahi,2109,4,4,27,0,1404.5,7.9,179.3
3124,Rajshahi,2151,4,1,5,1,0.0,11.8,129.0
3125,Dhaka,3091,6,2,32,0,483.4,12.4,351.0
3126,Dhaka,3779,4,1,12,1,0.0,,425.1
3127,Sylhet,3525,3,1,38,0,1593.2,25.1,198.8
3128,Dhaka,4055,5,4,28,0,0.0,0.9,459.0
3129,Dhaka,3549,6,2,24,1,1243.8,12.0,461.4
3130,Rajshahi,517,7,5,38,1,0.0,16.4,42.9
3131,Sylhet,4461,6,4,11,0,1412.4,10.8,366.8
3132,Dhaka,1019,3,4,35,1,1994.9,2.7,216.2
3133,Sylhet,2101,4,1,9,0,1878.7,13.7,194.2
3134,Dhaka,2182,3,3,4,1,1084.7,9.6,323.9
3135,Dhaka,2985,1,2,36,1,839.0,25.1,239.5
3136,Dhaka,1963,3,4,38,1,896.7,10.1,257.9
3137,Rajshahi,2943,1,2,6,0,1915.3,7.5,185.7
3138,Dhaka,854,6,2,6,0,325.0,4.9,214.7
3139,Sylhet,4093,7,2,24,1,,21.8,301.1
3140,Rajshahi,4043,7,5,8,0,1282.7,33.2,258.8
3141,Rajshahi,3190,2,3,36,0,1990.9,29.1,157.8
3142,Sylhet,1151,4,2,36,0,0.0,17.8,52.3
3143,Rajshahi,4258,4,1,23,0,,26.0,196.2
3144,Rajshahi,2440,2,1,21,0,851.5,7.1,124.0
3145,Sylhet,3074,6,4,29,0,0.0,28.2,206.8
3146,Sylhet,1850,5,2,35,1,0.0,9.7,149.0
3147,Rajshahi,2579,2,1,33,0,1364.5,29.8,110.8
3148,Chittagong,508,6,3,11,0,0.0,30.0,59.2
3149,Dhaka,1542,5,1,18,1,0.0,7.0,222.2
3150,Chittagong,948,6,5,12,1,973.7,5.6,216.0
3151,Sylhet,1528,6,4,23,0,0.0,22.8,136.6
3152,Chittagong,1689,1,1,9,0,1805.0,,182.6
3153,Rajshahi,2924,5,2,13,0,17.9,15.7,151.3
3154,Dhaka,2324,3,3,12,1,0.0,29.6,212.7
3155,Dhaka,2703,4,5,30,1,1530.5,17.6,387.6
3156,Chittagong,2862,5,2,24,1,893.2,,223.8
3157,Dhaka,2747,4,5,14,0,1711.1,4.5,417.7
3158,Dhaka,3484,2,2,39,0,0.0,29.2,260.5
3159,Chittagong,511,1,1,14,1,0.0,18.5,15
3160,Chittagong,1034,6,5,38,1,1346.4,12.1,148.5
3161,Dhaka,3862,3,4,31,0,0.0,1.6,450.3
3162,Chittagong,3869,4,5,28,1,0.0,9.5,303.0
3163,Dhaka,1136,7,4,22,0,1462.8,30.0,226.9
3164,Sylhet,1081,2,1,14,1,0.0,28.8,27.2
3165,Chittagong,2491,2,3,28,1,0.0,19.0,171.0
3166,Rajshahi,4266,5,2,34,0,0.0,2.6,237.7
3167,Dhaka,3525,2,1,5,0,0.0,1.3,373.4
3168,Rajshahi,2212,3,3,39,0,1755.1,3.9,136.6
3169,Dhaka,3635,3,1,1,0,,7.8,423.5
3170,Chittagong,3828,7,2,4,0,591.8,16.4,337.3
3171,Rajshahi,3335,1,2,4,0,0.0,29.4,129.1
3172,Dhaka,1008,6,3,3,0,148.3,5.9,238.1
3173,Rajshahi,763,7,3,29,1,1084.5,13.0,100.6
3174,Dhaka,4301,4,1,8,1,0.0,18.4,470.4
3175,Dhaka,3366,7,2,0,1,0.0,3.3,545.0
3176,Sylhet,1129,5,2,38,0,1471.8,33.0,65.3
3177,Dhaka,878,4,2,3,0,,32.4,67.3
3178,Rajshahi,1900,5,1,29,0,0.0,33.6,86.4
3179,Chittagong,2700,3,4,34,1,419.4,19.7,190.3
3180,Dhaka,2227,1,2,23,0,,27.5,123.8
3181,Sylhet,3298,4,4,19,1,0.0,29.9,209.8
3182,Sylhet,543,3,3,21,1,1988.8,21.2,75.2
3183,Rajshahi,1797,4,5,33,0,1061.1,34.0,103.2
3184,Sylhet,3388,2,3,5,1,1336.3,32.0,218.5
3185,Dhaka,2075,2,2,40,0,1340.8,17.3,166.6
3186,Rajshahi,515,2,3,25,0,1514.5,6.0,54.1
3187,Rajshahi,2996,2,3,10,1,925.4,9.7,193.5
3188,Chittagong,1343,7,5,6,1,0.0,16.0,192.3
3189,Rajshahi,3439,2,1,40,1,1670.0,17.5,168.5
3190,Dhaka,2541,7,4,6,0,1948.7,31.5,402.4
3191,Dhaka,3920,6,3,40,1,403.0,20.3,426.4
3192,Dhaka,1182,4,1,20,0,1156.0,25.6,119.8
3193,Sylhet,2420,1,2,20,0,1468.2,19.8,157.8
