StudentID,Gender,Age,ParentEducation,StudyHoursPerWeek,AttendanceRate,InternetAccess,MidtermScore,FinalScore,Result
1001,Male,15,Secondary,10.6,39.8,Yes,23.2,31.5,0
1002,Male,18,Higher,9.6,71.2,No,44.9,40.4,0
1003,Male,18,Secondary,5.0,56.6,Yes,30.3,36.9,0
1004,Male,19,Secondary,23.5,79.3,Yes,53.0,62.9,1
1005,Male,21,Secondary,18.7,88.4,Yes,47.6,44.4,0
1006,Male,17,Higher,15.8,99.3,Yes,34.8,44.7,0
1007,Male,15,Secondary,16.6,34.6,No,13.6,21.7,0
1008,Male,19,Primary,10.6,69.3,Yes,34.4,40.9,0
1009,Male,22,None,30.5,90.3,Yes,63.7,58.1,1
1010,Female,15,None,27.6,67.6,Yes,36.6,40.6,0
1011,Female,17,None,35.0,50.9,Yes,38.1,45.3,0
1012,Male,20,Higher,1.8,95.0,No,29.9,27.5,0
1013,Male,16,Higher,32.8,98.5,Yes,79.0,84.5,1
1014,Male,18,Secondary,16.6,77.0,Yes,47.3,43.9,0
1015,Male,18,Primary,1.3,79.5,Yes,32.9,32.2,0
1016,Male,22,Primary,31.6,86.5,Yes,67.0,72.3,1
1017,Male,16,None,16.7,53.8,No,29.8,23.6,0
1018,Male,22,None,3.0,99.9,No,43.0,32.4,0
1019,Female,22,Primary,34.7,93.2,Yes,66.3,82.1,1
1020,Female,17,Primary,12.6,97.8,Yes,29.3,39.6,0
1021,Male,15,None,34.2,,Yes,39.9,55.3,1
1022,Male,21,Secondary,37.5,44.3,No,42.8,53.6,1
1023,Female,16,None,18.9,99.9,No,47.1,48.7,0
1024,Female,19,Primary,18.1,68.0,Yes,67.0,61.3,1
1025,Female,16,Primary,11.3,92.3,No,43.7,45.7,0
1026,Female,19,None,4.6,59.7,Yes,39.6,33.9,0
1027,Female,21,None,5.4,,No,32.2,29.3,0
1028,Female,15,Secondary,9.2,47.5,Yes,40.5,29.8,0
